objectid,display_template,parentid,sequence,file_name,identifier,image_small,image_thumb,image_alt_text,object_transcript,title,ark,avian_id,uid,archival_call_number,archival_collection,finding_aid_ark,archival_series_title,folder_title,box,folder_num,contributing_institution,contributing_institution_uri,creator,creator_uri,interviewee,interviewee_uri,interviewer,interviewer_uri,contributor,contributor_uri,description,disclaimer,language,chronological_subject,name_subject,name_subject_uri,subject,subject_uri,location,location_uri,latitude,longitude,geodetic_datum,extent,medium,medium_uri,genre,genre_uri,type,format,rights,rightsstatement,date,date_digital,publisher,publisher_uri,issuance,issuance_start,issuance_end,frequency,relation,relation_uri,digital_origin
iowaornithassoc_049,image,iowaornithassoc_049,,ms0581b001f001i0049.jpg,ms0581b001f001i0049,/public_html/objects/ioa/small/ms0581b001f001i0049_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0049_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_050,image,iowaornithassoc_050,,ms0581b001f001i0050.jpg,ms0581b001f001i0050,/public_html/objects/ioa/small/ms0581b001f001i0050_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0050_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_051,image,iowaornithassoc_051,,ms0581b001f001i0051.jpg,ms0581b001f001i0051,/public_html/objects/ioa/small/ms0581b001f001i0051_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0051_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_052,image,iowaornithassoc_052,,ms0581b001f001i0052.jpg,ms0581b001f001i0052,/public_html/objects/ioa/small/ms0581b001f001i0052_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0052_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_053,image,iowaornithassoc_053,,ms0581b001f001i0053.jpg,ms0581b001f001i0053,/public_html/objects/ioa/small/ms0581b001f001i0053_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0053_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_054,image,iowaornithassoc_054,,ms0581b001f001i0054.jpg,ms0581b001f001i0054,/public_html/objects/ioa/small/ms0581b001f001i0054_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0054_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_055,image,iowaornithassoc_055,,ms0581b001f001i0055.jpg,ms0581b001f001i0055,/public_html/objects/ioa/small/ms0581b001f001i0055_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0055_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_056,image,iowaornithassoc_056,,ms0581b001f001i0056.jpg,ms0581b001f001i0056,/public_html/objects/ioa/small/ms0581b001f001i0056_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0056_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_057,image,iowaornithassoc_057,,ms0581b001f001i0057.jpg,ms0581b001f001i0057,/public_html/objects/ioa/small/ms0581b001f001i0057_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0057_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_058,image,iowaornithassoc_058,,ms0581b001f001i0058.jpg,ms0581b001f001i0058,/public_html/objects/ioa/small/ms0581b001f001i0058_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0058_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iowaornithassoc_059,image,iowaornithassoc_059,,ms0581b001f001i0059.jpg,ms0581b001f001i0059,/public_html/objects/ioa/small/ms0581b001f001i0059_sm.jpg,/public_html/objects/ioa/thumbs/ms0581b001f001i0059_th.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
